State Code,County Code,Site Num,Address,State,County,City,Date Local,NO2 Units,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Units,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Units,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Units,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI
4,13,3002,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,1/1/2000,Parts per billion,19.041667,49,19,46,Parts per million,0.0225,0.04,10,34,Parts per billion,3,9,21,13,Parts per million,1.145833,4.2,21,
4,13,3002,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,1/1/2000,Parts per billion,19.041667,49,19,46,Parts per million,0.0225,0.04,10,34,Parts per billion,3,9,21,13,Parts per million,0.878947,2.2,23,25
4,13,3002,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,1/1/2000,Parts per billion,19.041667,49,19,46,Parts per million,0.0225,0.04,10,34,Parts per billion,2.975,6.6,23,,Parts per million,1.145833,4.2,21,
4,13,3002,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,1/1/2000,Parts per billion,19.041667,49,19,46,Parts per million,0.0225,0.04,10,34,Parts per billion,2.975,6.6,23,,Parts per million,0.878947,2.2,23,25
4,13,3002,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,1/2/2000,Parts per billion,22.958333,36,19,34,Parts per million,0.013375,0.032,10,27,Parts per billion,1.958333,3,22,4,Parts per million,0.85,1.6,23,
4,13,3002,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,1/2/2000,Parts per billion,22.958333,36,19,34,Parts per million,0.013375,0.032,10,27,Parts per billion,1.958333,3,22,4,Parts per million,1.066667,2.3,0,26
4,13,3002,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,1/2/2000,Parts per billion,22.958333,36,19,34,Parts per million,0.013375,0.032,10,27,Parts per billion,1.9375,2.6,23,,Parts per million,0.85,1.6,23,
4,13,3002,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,1/2/2000,Parts per billion,22.958333,36,19,34,Parts per million,0.013375,0.032,10,27,Parts per billion,1.9375,2.6,23,,Parts per million,1.066667,2.3,0,26
4,13,3002,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,1/3/2000,Parts per billion,38.125,51,8,48,Parts per million,0.007958,0.016,9,14,Parts per billion,5.25,11,19,16,Parts per million,1.929167,4.4,8,
4,13,3002,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,1/3/2000,Parts per billion,38.125,51,8,48,Parts per million,0.007958,0.016,9,14,Parts per billion,5.25,11,19,16,Parts per million,1.7625,2.5,8,28
4,13,3002,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Arizona,Maricopa,Phoenix,1/3/2000,Parts per billion,38.125,51,8,48,Parts per million,0.007958,0.016,9,14,Parts per billion,5.2,8.3,20,,Parts per million,1.929167,4.4,8,
